Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
689,1758.86,1698.13,0,60.7353,0.0,0.0,0.0,0.0,249.437,0.0,2116
690,1728.21,1703.2,0,25.0085,0.0,0.0,0.0,0.0,245.646,0.0,2148
691,1869.91,1843.55,0,26.3637,0.0,0.0,0.0,0.0,265.075,0.0,2326
692,2036.2,2014.73,0,21.4654,0.0,0.0,0.0,0.0,288.49,0.0,2538
693,1596.7,1572.37,0,24.3285,0.0,0.0,0.0,0.0,226.942,0.0,1941
694,1706.74,1681.65,0,25.0868,0.0,0.0,0.0,0.0,242.797,0.0,2082
695,1644.18,1586.54,0,57.6397,0.0,0.0,0.0,0.0,233.345,0.0,2082
696,1524.73,1501.92,0,22.8088,0.0,0.0,0.0,0.0,216.56,0.0,1937
697,2129.04,1745.73,0,88.7885,0.0,91.6531,202.871,0.0,301.486,0.0,2668
698,2195.49,2164.13,0,31.3625,0.0,0.0,0.0,0.0,311.461,0.0,2684
699,2036.92,2017.05,0,19.8728,0.0,0.0,0.0,0.0,288.498,0.0,2474
700,1544.63,1521.74,0,22.8956,0.0,0.0,0.0,0.0,219.331,0.0,1971
701,1811.85,1776.9,0,34.9432,0.0,0.0,0.0,0.0,257.171,0.0,2227
702,1650.17,1630.43,0,19.7318,0.0,0.0,0.0,0.0,234.677,0.0,2033
703,1833.0,1812.2,0,20.7918,0.0,0.0,0.0,0.0,258.922,0.0,2263
704,1507.1,1488.74,0,18.3576,0.0,0.0,0.0,0.0,214.364,0.0,1903
705,1550.19,1525.56,0,24.6322,0.0,0.0,0.0,0.0,220.378,0.0,1904
706,1801.27,1773.14,0,28.1307,0.0,0.0,0.0,0.0,256.035,0.0,2292
707,1869.15,1850.73,0,18.4177,0.0,0.0,0.0,0.0,264.912,0.0,2218
708,1750.1,1731.53,0,18.5737,0.0,0.0,0.0,0.0,248.059,0.0,2172
709,1693.64,1666.74,0,26.8938,0.0,0.0,0.0,0.0,241.033,0.0,2145
710,1678.12,1652.48,0,25.6415,0.0,0.0,0.0,0.0,237.698,0.0,2034
711,3975.26,3724.13,0,97.6853,0.0,106.691,46.7453,0.0,563.343,0.0,4763
712,1524.84,1504.45,0,20.3863,0.0,0.0,0.0,0.0,216.88,0.0,1877
713,1642.01,1622.56,0,19.4525,0.0,0.0,0.0,0.0,233.077,0.0,2088
714,2540.83,2514.0,0,26.8313,0.0,0.0,0.0,0.0,358.96,0.0,3108
715,1762.27,1725.58,0,36.6872,0.0,0.0,0.0,0.0,250.319,0.0,2164
716,1715.42,1691.2,0,24.2257,0.0,0.0,0.0,0.0,243.762,0.0,2016
717,1918.99,1900.28,0,18.7099,0.0,0.0,0.0,0.0,271.94,0.0,2417
718,1884.36,1864.48,0,19.8743,0.0,0.0,0.0,0.0,267.026,0.0,2365
719,1795.9,1429.03,0,134.723,0.0,0.0,39.7656,192.38,255.357,0.0,2190
720,1582.17,1564.86,0,17.3118,0.0,0.0,0.0,0.0,225.457,0.0,1948
721,1891.51,1869.69,0,21.822,0.0,0.0,0.0,0.0,268.76,0.0,2365
722,1985.97,1962.32,0,23.6545,0.0,0.0,0.0,0.0,281.608,0.0,2382
723,2253.97,2131.65,0,18.0418,0.0,103.89,0.392579,0.0,318.918,0.0,2742
724,1660.95,1641.17,0,19.7781,0.0,0.0,0.0,0.0,236.768,0.0,1958
725,1621.78,1603.16,0,18.6234,0.0,0.0,0.0,0.0,230.832,0.0,2006
726,1876.22,1859.84,0,16.3797,0.0,0.0,0.0,0.0,266.52,0.0,2271
727,1690.45,1655.94,0,34.5109,0.0,0.0,0.0,0.0,239.814,0.0,2224
728,3592.9,3064.56,0,126.094,73.3817,198.04,130.823,0.0,508.705,0.0,4363
729,1657.68,1635.08,0,22.6045,0.0,0.0,0.0,0.0,234.92,0.0,2032
730,1801.64,1781.64,0,20.0012,0.0,0.0,0.0,0.0,255.883,0.0,2244
731,1694.31,1669.37,0,24.9435,0.0,0.0,0.0,0.0,240.75,0.0,2208
732,1704.59,1685.35,0,19.2468,0.0,0.0,0.0,0.0,242.456,0.0,2099
733,1674.67,1655.33,0,19.3456,0.0,0.0,0.0,0.0,238.203,0.0,2028
734,2242.41,1968.43,0,42.2496,0.0,94.9927,136.741,0.0,317.373,0.0,2813
735,2107.3,2084.39,0,22.9109,0.0,0.0,0.0,0.0,297.922,0.0,2588
736,1706.5,1686.51,0,19.9884,0.0,0.0,0.0,0.0,241.602,0.0,2088
737,2006.69,1708.36,0,55.7024,0.0,105.741,136.89,0.0,284.525,0.0,2463
738,1859.09,1833.59,0,25.5016,0.0,0.0,0.0,0.0,263.018,0.0,2266
739,1660.21,1627.81,0,32.4065,0.0,0.0,0.0,0.0,235.958,0.0,2072
740,1634.78,1608.07,0,26.7124,0.0,0.0,0.0,0.0,231.927,0.0,1969
741,1623.05,1602.53,0,20.5246,0.0,0.0,0.0,0.0,231.051,0.0,1953
742,1630.24,1609.03,0,21.2128,0.0,0.0,0.0,0.0,231.999,0.0,1981
743,1741.44,1721.06,0,20.3729,0.0,0.0,0.0,0.0,247.297,0.0,2125
744,1518.07,1493.26,0,23.0361,0.0,0.0,0.0,1.77407,215.931,0.0,1846
745,1713.01,1690.63,0,22.3759,0.0,0.0,0.0,0.0,243.101,0.0,2111
746,2157.46,2132.96,0,24.5009,0.0,0.0,0.0,0.0,304.577,0.0,2635
747,1882.0,1861.02,0,20.9828,0.0,0.0,0.0,0.0,266.433,0.0,2339
748,1834.48,1808.16,0,26.3222,0.0,0.0,0.0,0.0,259.891,0.0,2234
749,1685.95,1663.86,0,22.0874,0.0,0.0,0.0,0.0,238.361,0.0,2128
750,1623.92,1598.33,0,25.5894,0.0,0.0,0.0,0.0,230.537,0.0,2072
751,1546.81,1522.6,0,24.2102,0.0,0.0,0.0,0.0,220.193,0.0,1915
752,1521.75,1481.32,0,40.4271,0.0,0.0,0.0,0.0,216.667,0.0,1832
753,1597.21,1578.12,0,19.0897,0.0,0.0,0.0,0.0,227.499,0.0,1919
754,1634.94,1611.65,0,23.297,0.0,0.0,0.0,0.0,232.484,0.0,2031
755,1774.01,1750.67,0,23.3396,0.0,0.0,0.0,0.0,251.842,0.0,2236
756,2245.66,1986.36,0,24.8545,0.0,103.773,130.675,0.0,318.193,0.0,2741
757,1524.85,1462.0,0,62.8453,0.0,0.0,0.0,0.0,216.949,0.0,1872
758,2275.92,2016.14,0,98.1683,0.0,106.175,55.4421,0.0,322.034,0.0,2764
759,1918.26,1883.34,0,34.9238,0.0,0.0,0.0,0.0,271.552,0.0,2371
760,1830.56,1802.66,0,27.8967,0.0,0.0,0.0,0.0,260.122,0.0,2178
761,1605.18,1583.92,0,21.261,0.0,0.0,0.0,0.0,228.102,0.0,1995
762,1602.53,1574.34,0,28.1925,0.0,0.0,0.0,0.0,227.621,0.0,1984
763,1670.61,1647.25,0,23.3649,0.0,0.0,0.0,0.0,236.954,0.0,2042
764,1495.95,1476.15,0,19.7993,0.0,0.0,0.0,0.0,213.179,0.0,1876
765,1729.04,1708.67,0,20.3718,0.0,0.0,0.0,0.0,245.483,0.0,2106
766,2216.15,1510.92,0,388.96,0.0,0.0,89.1464,227.121,313.88,0.0,2743
767,2226.44,1998.69,0,72.1879,0.0,101.874,53.6867,0.0,315.921,0.0,2715
768,1656.69,1633.53,0,23.1629,0.0,0.0,0.0,0.0,235.266,0.0,2089
769,1995.2,1970.94,0,24.2563,0.0,0.0,0.0,0.0,282.981,0.0,2385
770,1910.12,1892.55,0,17.5726,0.0,0.0,0.0,0.0,270.287,0.0,2320
771,1510.91,1488.2,0,22.7103,0.0,0.0,0.0,0.0,214.897,0.0,1809
772,2950.5,2556.92,0,258.107,0.0,105.144,30.336,0.0,417.588,0.0,3614
773,1679.48,1659.48,0,20.001,0.0,0.0,0.0,0.0,239.19,0.0,2076
774,2094.82,1841.77,0,79.8318,0.0,104.826,68.3922,0.0,296.654,0.0,2696
775,1693.27,1663.71,0,29.5619,0.0,0.0,0.0,0.0,240.369,0.0,2057
776,1740.78,1717.5,0,23.2873,0.0,0.0,0.0,0.0,247.057,0.0,2162
777,1655.92,1610.47,0,45.4437,0.0,0.0,0.0,0.0,235.47,0.0,2025
778,2202.97,2051.29,0,6.82799,0.0,106.679,38.1719,0.0,312.197,0.0,2673
779,1779.98,1755.43,0,24.5466,0.0,0.0,0.0,0.0,252.775,0.0,2210
780,1759.15,1733.4,0,25.7524,0.0,0.0,0.0,0.0,249.655,0.0,2096
781,1833.07,1812.03,0,21.0401,0.0,0.0,0.0,0.0,259.076,0.0,2208
782,1839.04,1815.22,0,23.815,0.0,0.0,0.0,0.0,261.021,0.0,2236
783,1651.15,1628.43,0,22.7168,0.0,0.0,0.0,0.0,234.641,0.0,2027
784,3286.67,2753.77,0,155.117,0.0,1.7955,84.6695,291.323,465.351,0.0,4114
785,1528.0,1485.01,0,42.9905,0.0,0.0,0.0,0.0,218.207,0.0,1887
786,1734.68,1716.44,0,18.2435,0.0,0.0,0.0,0.0,246.004,0.0,2147
787,1625.01,1599.77,0,25.2388,0.0,0.0,0.0,0.0,231.564,0.0,1995
788,2164.61,2142.51,0,22.1048,0.0,0.0,0.0,0.0,305.3,0.0,2743
789,1839.88,1809.94,0,29.9418,0.0,0.0,0.0,0.0,261.026,0.0,2242
790,1529.3,1511.19,0,18.1117,0.0,0.0,0.0,0.0,218.16,0.0,1908
