Event,Px,Py,Pz,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
2477,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2478,0.0,0.0,-1.0,108.914,7.66887,0.0,0.0,0.0,101.246,0,0.0,2.04183,0.0,2891
2479,0.0,0.0,-1.0,129.133,27.1843,0.0,0.0,0.0,101.949,0,0.0,2.18457,0.0,3399
2480,0.0,0.0,-1.0,133.902,40.6168,0.0,0.0,0.0,93.2853,0,0.0,2.41947,0.0,3628
2481,0.0,0.0,-1.0,662.0,438.617,0.0,0.0,0.0,160.063,0,0.0,12.2768,63.32,17332
2482,0.0,0.0,-1.0,360.648,288.947,0.0,0.0,0.0,71.701,0,0.0,6.63157,0.0,9516
2483,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2484,0.0,0.0,-1.0,662.0,501.297,0.0,0.0,0.0,97.3831,0,0.0,12.5808,63.32,17739
2485,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2486,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2487,0.0,0.0,-1.0,255.001,153.012,0.0,0.0,0.0,101.989,0,0.0,4.78258,0.0,6762
2488,0.0,0.0,-1.0,662.0,463.691,0.0,0.0,0.0,134.989,0,0.0,12.3767,63.32,17446
2489,0.0,0.0,-1.0,662.0,402.395,0.0,0.0,0.0,196.285,0,0.0,12.1494,63.32,17417
2490,0.0,0.0,-1.0,662.0,401.663,0.0,0.0,0.0,197.017,0,0.0,11.6456,63.32,17457
2491,0.0,0.0,-1.0,321.559,226.429,0.0,0.0,0.0,95.1298,0,0.0,5.96773,0.0,8412
2492,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2493,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2494,0.0,0.0,-1.0,398.075,166.733,0.0,0.0,0.0,231.342,0,0.0,7.36116,0.0,10512
2495,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2496,0.0,0.0,-1.0,58.014,0.0,0.0,0.0,0.0,58.014,0,0.0,1.10063,0.0,1530
2497,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2498,0.0,0.0,-1.0,662.0,571.535,0.0,0.0,0.0,27.1448,0,0.0,12.1276,63.32,17490
2499,0.0,0.0,-1.0,357.069,255.008,0.0,0.0,0.0,102.061,0,0.0,6.54148,0.0,9632
2500,0.0,0.0,-1.0,417.204,321.878,0.0,0.0,0.0,95.3254,0,0.0,7.88,0.0,10883
2501,0.0,0.0,-1.0,662.0,503.154,0.0,0.0,0.0,95.5264,0,0.0,12.1922,63.32,17455
2502,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2503,0.0,0.0,-1.0,458.222,314.724,0.0,0.0,0.0,143.497,0,0.0,8.6803,0.0,12094
2504,0.0,0.0,-1.0,662.0,496.698,0.0,0.0,0.0,101.982,0,0.0,11.8619,63.32,17516
2505,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2506,0.0,0.0,-1.0,662.0,399.714,0.0,0.0,0.0,198.966,0,0.0,12.3795,63.32,17213
2507,0.0,0.0,-1.0,662.0,407.061,0.0,0.0,0.0,191.619,0,0.0,12.136,63.32,17421
2508,0.0,0.0,-1.0,662.0,397.657,0.0,0.0,0.0,201.023,0,0.0,12.2528,63.32,17550
2509,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2510,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2511,0.0,0.0,-1.0,662.0,550.939,0.0,0.0,0.0,101.811,0,0.0,12.4156,9.25,17497
2512,0.0,0.0,-1.0,468.102,388.806,0.0,0.0,0.0,79.2957,0,0.0,8.13202,0.0,12269
2513,0.0,0.0,-1.0,115.517,17.6998,0.0,0.0,0.0,97.817,0,0.0,2.15862,0.0,3085
2514,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2515,0.0,0.0,-1.0,173.683,72.1494,0.0,0.0,0.0,101.534,0,0.0,3.27964,0.0,4601
2516,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2517,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2518,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2519,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2520,0.0,0.0,-1.0,148.534,47.7758,0.0,0.0,0.0,100.758,0,0.0,2.77402,0.0,3958
2521,0.0,0.0,-1.0,662.0,394.616,0.0,0.0,0.0,204.064,0,0.0,11.7027,63.32,17310
2522,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
