Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
6095,0.00191222,-0.00167673,-0.999997,4758.47,4246.58,0.0,338.114,0.0,146.221,27.5532,0.0,177.833,0.0,1594,48506
6096,-0.000203295,-0.000194898,-1.0,3836.66,3683.09,0.0,153.575,0.0,0.0,0.0,0.0,143.604,0.0,1334,39200
6097,0.000414379,-0.000306726,-1.0,4354.04,3957.56,0.0,396.48,0.0,0.0,0.0,0.0,161.756,0.0,1664,44389
6098,0.000110752,0.000440595,-1.0,4916.93,3994.32,0.0,382.505,0.0,148.626,391.479,0.0,183.957,0.0,1717,50195
6099,-0.000191479,-6.15632e-05,-1.0,4216.92,3832.21,0.0,384.706,0.0,0.0,0.0,0.0,157.015,0.0,1483,42987
6100,0.000313302,-0.00080539,-1.0,4955.4,3912.01,0.0,450.684,0.0,246.058,346.643,0.0,184.501,0.0,1865,50569
6101,9.2447e-05,-0.000196668,-1.0,4944.67,3779.09,0.0,612.24,0.0,147.836,405.506,0.0,184.301,0.0,1700,50391
6102,-0.000855857,0.000480007,-1.0,3736.2,3588.12,0.0,148.083,0.0,0.0,0.0,0.0,139.594,0.0,1321,38159
6103,-0.000296255,0.000517855,-1.0,3530.04,3350.91,0.0,179.122,0.0,0.0,0.0,0.0,132.04,0.0,1235,36134
6104,-0.000333901,0.000388747,-1.0,4654.32,4048.27,0.0,606.057,0.0,0.0,0.0,0.0,173.741,0.0,1643,47440
6105,0.000548279,7.40487e-05,-1.0,4311.54,3979.58,0.0,331.954,0.0,0.0,0.0,0.0,161.137,0.0,1447,43910
6106,-6.45685e-05,0.000148001,-1.0,3779.0,3608.05,0.0,170.942,0.0,0.0,0.0,0.0,140.552,0.0,1437,38616
6107,0.000217027,-0.000310486,-1.0,4493.61,3857.64,0.0,358.912,0.0,149.015,128.041,0.0,167.955,0.0,1547,45875
6108,0.000321377,-0.000121325,-1.0,4114.31,3665.15,0.0,449.155,0.0,0.0,0.0,0.0,152.923,0.0,1399,41962
6109,0.000103449,-0.000220744,-1.0,4367.49,3899.43,0.0,468.056,0.0,0.0,0.0,0.0,163.037,0.0,1460,44529
6110,-0.00046894,-0.000615168,-1.0,4071.0,3588.35,0.0,71.8512,0.0,123.976,286.825,0.0,152.546,0.0,1399,41601
6111,-0.00030715,0.000758898,-1.0,3500.56,3333.07,0.0,167.484,0.0,0.0,0.0,0.0,130.892,0.0,1345,35898
6112,0.000474207,0.000205179,-1.0,4715.09,4298.42,0.0,44.2621,0.0,148.575,223.842,0.0,176.394,0.0,1687,48279
6113,0.000352452,0.000222129,-1.0,4415.22,3850.85,0.0,329.788,0.0,146.035,88.5485,0.0,164.682,0.0,1605,45076
6114,-0.000282257,-6.36569e-05,-1.0,4299.31,3889.67,0.0,409.638,0.0,0.0,0.0,0.0,160.564,0.0,1465,43814
6115,0.00103117,0.00120769,-0.999999,4318.15,3360.06,0.0,408.525,0.0,148.97,400.59,0.0,161.471,0.0,1575,44156
6116,-0.000436852,4.11001e-05,-1.0,3979.06,3624.29,0.0,354.768,0.0,0.0,0.0,0.0,148.677,0.0,1406,40621
6117,0.0005975,-3.2314e-05,-1.0,4192.54,3727.07,0.0,465.471,0.0,0.0,0.0,0.0,156.867,0.0,1434,42776
6118,-0.000162082,-0.00022101,-1.0,4129.36,3678.05,0.0,451.31,0.0,0.0,0.0,0.0,154.088,0.0,1439,42108
6119,8.51014e-05,5.18541e-05,-1.0,4258.0,3819.67,0.0,284.686,0.0,128.758,24.8836,0.0,159.454,0.0,1500,43488
6120,-0.000791613,0.000419092,-1.0,4962.3,4562.55,0.0,120.326,0.0,146.783,132.636,0.0,185.565,0.0,1780,50790
6121,8.16547e-05,-0.000386338,-1.0,4464.35,3665.31,0.0,286.608,0.0,149.015,363.418,0.0,166.857,0.0,1509,45598
6122,0.000717802,-7.37033e-05,-1.0,4668.92,3856.12,0.0,240.07,0.0,124.301,448.422,0.0,174.199,0.0,1649,47572
6123,0.000209508,-0.000202077,-1.0,4250.78,3863.47,0.0,387.316,0.0,0.0,0.0,0.0,158.049,0.0,1467,43364
6124,-0.000929419,-8.16451e-05,-1.0,3501.7,3328.95,0.0,172.748,0.0,0.0,0.0,0.0,131.645,0.0,1219,35875
6125,-0.000315117,-9.24595e-05,-1.0,4195.99,3777.3,0.0,55.9437,0.0,148.009,214.741,0.0,156.013,0.0,1633,42911
6126,-0.00174894,-0.00312767,-0.999994,4428.05,3404.03,0.0,436.687,0.0,148.492,438.844,0.0,166.373,0.0,1518,45306
6127,0.000196604,0.000474681,-1.0,4145.95,3716.57,0.0,429.376,0.0,0.0,0.0,0.0,154.839,0.0,1368,42308
6128,6.47514e-05,-0.000211362,-1.0,4168.43,3650.14,0.0,55.8853,0.0,148.937,265.527,47.9378,155.714,0.0,1501,42626
6129,-4.5565e-05,-7.17609e-05,-1.0,4176.8,3734.54,0.0,442.257,0.0,0.0,0.0,0.0,155.392,0.0,1440,42599
6130,-0.000232663,-0.000343954,-1.0,4039.77,3436.68,0.0,328.365,0.0,108.795,165.928,0.0,151.186,0.0,1408,41336
6131,0.00112174,0.000110648,-0.999999,3956.86,3518.4,0.0,438.464,0.0,0.0,0.0,0.0,147.635,0.0,1403,40408
6132,0.000874026,0.00129752,-0.999999,4808.28,4079.36,0.0,236.852,0.0,148.73,343.332,0.0,180.446,0.0,1607,49197
6133,-0.000148552,-0.000155451,-1.0,3777.79,3641.55,0.0,136.235,0.0,0.0,0.0,0.0,141.54,0.0,1406,38666
6134,0.000332876,-0.000173333,-1.0,3951.74,3419.02,0.0,532.716,0.0,0.0,0.0,0.0,148.447,0.0,1307,40405
6135,0.000759389,-0.000825476,-0.999999,4135.56,3749.02,0.0,386.54,0.0,0.0,0.0,0.0,154.365,0.0,1471,42215
6136,0.000109409,0.000257177,-1.0,4023.43,3650.56,0.0,372.87,0.0,0.0,0.0,0.0,149.782,0.0,1460,41014
6137,0.000248075,0.000257849,-1.0,4756.72,4261.34,0.0,162.268,0.0,148.992,184.116,0.0,177.758,0.0,1744,48594
6138,-0.000603682,-5.40685e-05,-1.0,3396.09,3240.26,0.0,155.838,0.0,0.0,0.0,0.0,127.353,0.0,1249,34864
6139,0.0002576,0.000140665,-1.0,4539.13,3682.1,0.0,258.332,0.0,124.99,316.434,157.274,169.745,0.0,1542,46428
